date,COST stock,isPartial
2016-01-01,33,False
2016-01-02,28,False
2016-01-03,52,False
2016-01-04,74,False
2016-01-05,65,False
2016-01-06,66,False
2016-01-07,75,False
2016-01-08,85,False
2016-01-09,49,False
2016-01-10,54,False
2016-01-11,86,False
2016-01-12,87,False
2016-01-13,92,False
2016-01-14,84,False
2016-01-15,72,False
2016-01-16,50,False
2016-01-17,58,False
2016-01-18,73,False
2016-01-19,81,False
2016-01-20,100,False
2016-01-21,92,False
2016-01-22,64,False
2016-01-23,46,False
2016-01-24,50,False
2016-01-25,74,False
2016-01-26,99,False
2016-01-27,88,False
2016-01-28,98,False
2016-01-29,76,False
2016-01-30,53,False
2016-01-31,61,False
