date,MCD stock,isPartial
2013-01-01,22,False
2013-01-02,54,False
2013-01-03,44,False
2013-01-04,45,False
2013-01-05,20,False
2013-01-06,0,False
2013-01-07,42,False
2013-01-08,34,False
2013-01-09,59,False
2013-01-10,17,False
2013-01-11,35,False
2013-01-12,20,False
2013-01-13,19,False
2013-01-14,41,False
2013-01-15,81,False
2013-01-16,33,False
2013-01-17,33,False
2013-01-18,35,False
2013-01-19,39,False
2013-01-20,19,False
2013-01-21,16,False
2013-01-22,16,False
2013-01-23,82,False
2013-01-24,100,False
2013-01-25,77,False
2013-01-26,59,False
2013-01-27,19,False
2013-01-28,90,False
2013-01-29,48,False
2013-01-30,57,False
2013-01-31,58,False
