date,HAS stock,isPartial
2017-04-01,53,False
2017-04-02,54,False
2017-04-03,74,False
2017-04-04,79,False
2017-04-05,62,False
2017-04-06,56,False
2017-04-07,55,False
2017-04-08,47,False
2017-04-09,51,False
2017-04-10,79,False
2017-04-11,77,False
2017-04-12,81,False
2017-04-13,81,False
2017-04-14,47,False
2017-04-15,45,False
2017-04-16,49,False
2017-04-17,100,False
2017-04-18,71,False
2017-04-19,64,False
2017-04-20,75,False
2017-04-21,72,False
2017-04-22,52,False
2017-04-23,77,False
2017-04-24,86,False
2017-04-25,82,False
2017-04-26,83,False
2017-04-27,71,False
2017-04-28,76,False
2017-04-29,51,False
2017-04-30,68,False
