date,SYMC stock,isPartial
2018-03-01,83,False
2018-03-02,65,False
2018-03-03,0,False
2018-03-04,47,False
2018-03-05,46,False
2018-03-06,52,False
2018-03-07,63,False
2018-03-08,64,False
2018-03-09,100,False
2018-03-10,54,False
2018-03-11,0,False
2018-03-12,93,False
2018-03-13,63,False
2018-03-14,78,False
2018-03-15,74,False
2018-03-16,33,False
2018-03-17,36,False
2018-03-18,71,False
2018-03-19,63,False
2018-03-20,95,False
2018-03-21,0,False
2018-03-22,32,False
2018-03-23,55,False
2018-03-24,37,False
2018-03-25,0,False
2018-03-26,95,False
2018-03-27,64,False
2018-03-28,44,False
2018-03-29,34,False
2018-03-30,36,False
2018-03-31,0,False
