date,ATVI stock,isPartial
2016-08-01,20,False
2016-08-02,22,False
2016-08-03,29,False
2016-08-04,100,False
2016-08-05,65,False
2016-08-06,8,False
2016-08-07,11,False
2016-08-08,30,False
2016-08-09,25,False
2016-08-10,16,False
2016-08-11,21,False
2016-08-12,24,False
2016-08-13,8,False
2016-08-14,0,False
2016-08-15,29,False
2016-08-16,24,False
2016-08-17,21,False
2016-08-18,11,False
2016-08-19,24,False
2016-08-20,8,False
2016-08-21,12,False
2016-08-22,31,False
2016-08-23,39,False
2016-08-24,21,False
2016-08-25,13,False
2016-08-26,12,False
2016-08-27,13,False
2016-08-28,8,False
2016-08-29,13,False
2016-08-30,20,False
2016-08-31,20,False
