date,HAS stock,isPartial
2018-11-01,70,False
2018-11-02,64,False
2018-11-03,43,False
2018-11-04,78,False
2018-11-05,80,False
2018-11-06,66,False
2018-11-07,91,False
2018-11-08,74,False
2018-11-09,62,False
2018-11-10,49,False
2018-11-11,56,False
2018-11-12,87,False
2018-11-13,75,False
2018-11-14,94,False
2018-11-15,86,False
2018-11-16,69,False
2018-11-17,60,False
2018-11-18,67,False
2018-11-19,89,False
2018-11-20,64,False
2018-11-21,62,False
2018-11-22,37,False
2018-11-23,41,False
2018-11-24,44,False
2018-11-25,60,False
2018-11-26,87,False
2018-11-27,95,False
2018-11-28,94,False
2018-11-29,100,False
2018-11-30,77,False
