date,MAT stock,isPartial
2018-01-01,32,False
2018-01-02,36,False
2018-01-03,17,False
2018-01-04,44,False
2018-01-05,35,False
2018-01-06,68,False
2018-01-07,19,False
2018-01-08,34,False
2018-01-09,84,False
2018-01-10,51,False
2018-01-11,34,False
2018-01-12,62,False
2018-01-13,39,False
2018-01-14,39,False
2018-01-15,17,False
2018-01-16,50,False
2018-01-17,25,False
2018-01-18,42,False
2018-01-19,35,False
2018-01-20,19,False
2018-01-21,19,False
2018-01-22,25,False
2018-01-23,58,False
2018-01-24,100,False
2018-01-25,42,False
2018-01-26,18,False
2018-01-27,19,False
2018-01-28,57,False
2018-01-29,42,False
2018-01-30,17,False
2018-01-31,50,False
