date,MSFT stock,isPartial
2013-08-01,25,False
2013-08-02,25,False
2013-08-03,8,False
2013-08-04,5,False
2013-08-05,21,False
2013-08-06,25,False
2013-08-07,16,False
2013-08-08,29,False
2013-08-09,29,False
2013-08-10,6,False
2013-08-11,4,False
2013-08-12,12,False
2013-08-13,22,False
2013-08-14,21,False
2013-08-15,18,False
2013-08-16,22,False
2013-08-17,8,False
2013-08-18,6,False
2013-08-19,11,False
2013-08-20,15,False
2013-08-21,22,False
2013-08-22,25,False
2013-08-23,100,False
2013-08-24,43,False
2013-08-25,18,False
2013-08-26,42,False
2013-08-27,19,False
2013-08-28,31,False
2013-08-29,18,False
2013-08-30,14,False
2013-08-31,14,False
