date,SYMC stock,isPartial
2018-10-01,40,False
2018-10-02,50,False
2018-10-03,50,False
2018-10-04,30,False
2018-10-05,21,False
2018-10-06,23,False
2018-10-07,0,False
2018-10-08,60,False
2018-10-09,39,False
2018-10-10,31,False
2018-10-11,72,False
2018-10-12,76,False
2018-10-13,36,False
2018-10-14,47,False
2018-10-15,31,False
2018-10-16,41,False
2018-10-17,0,False
2018-10-18,31,False
2018-10-19,21,False
2018-10-20,0,False
2018-10-21,0,False
2018-10-22,20,False
2018-10-23,100,False
2018-10-24,60,False
2018-10-25,30,False
2018-10-26,32,False
2018-10-27,23,False
2018-10-28,23,False
2018-10-29,59,False
2018-10-30,40,False
2018-10-31,52,False
