date,ODP stock,isPartial
2018-04-01,0,False
2018-04-02,100,False
2018-04-03,94,False
2018-04-04,63,False
2018-04-05,38,False
2018-04-06,60,False
2018-04-07,0,False
2018-04-08,0,False
2018-04-09,63,False
2018-04-10,93,False
2018-04-11,74,False
2018-04-12,75,False
2018-04-13,59,False
2018-04-14,44,False
2018-04-15,0,False
2018-04-16,100,False
2018-04-17,88,False
2018-04-18,76,False
2018-04-19,78,False
2018-04-20,59,False
2018-04-21,44,False
2018-04-22,0,False
2018-04-23,55,False
2018-04-24,37,False
2018-04-25,100,False
2018-04-26,95,False
2018-04-27,67,False
2018-04-28,45,False
2018-04-29,0,False
2018-04-30,76,False
