date,EBAY stock,isPartial
2013-04-01,72,False
2013-04-02,60,False
2013-04-03,57,False
2013-04-04,49,False
2013-04-05,45,False
2013-04-06,48,False
2013-04-07,39,False
2013-04-08,67,False
2013-04-09,80,False
2013-04-10,60,False
2013-04-11,60,False
2013-04-12,62,False
2013-04-13,47,False
2013-04-14,58,False
2013-04-15,57,False
2013-04-16,60,False
2013-04-17,100,False
2013-04-18,64,False
2013-04-19,80,False
2013-04-20,44,False
2013-04-21,59,False
2013-04-22,62,False
2013-04-23,64,False
2013-04-24,62,False
2013-04-25,73,False
2013-04-26,61,False
2013-04-27,52,False
2013-04-28,62,False
2013-04-29,68,False
2013-04-30,62,False
