date,SBUX stock,isPartial
2014-06-01,32,False
2014-06-02,62,False
2014-06-03,39,False
2014-06-04,44,False
2014-06-05,72,False
2014-06-06,76,False
2014-06-07,50,False
2014-06-08,44,False
2014-06-09,41,False
2014-06-10,55,False
2014-06-11,89,False
2014-06-12,40,False
2014-06-13,94,False
2014-06-14,65,False
2014-06-15,0,False
2014-06-16,89,False
2014-06-17,45,False
2014-06-18,90,False
2014-06-19,92,False
2014-06-20,76,False
2014-06-21,100,False
2014-06-22,33,False
2014-06-23,63,False
2014-06-24,45,False
2014-06-25,89,False
2014-06-26,55,False
2014-06-27,28,False
2014-06-28,67,False
2014-06-29,33,False
2014-06-30,72,False
