date,AAPL stock,isPartial
2013-11-01,80,False
2013-11-02,38,False
2013-11-03,10,False
2013-11-04,73,False
2013-11-05,60,False
2013-11-06,60,False
2013-11-07,74,False
2013-11-08,64,False
2013-11-09,30,False
2013-11-10,19,False
2013-11-11,56,False
2013-11-12,67,False
2013-11-13,50,False
2013-11-14,74,False
2013-11-15,64,False
2013-11-16,30,False
2013-11-17,15,False
2013-11-18,76,False
2013-11-19,61,False
2013-11-20,76,False
2013-11-21,63,False
2013-11-22,70,False
2013-11-23,12,False
2013-11-24,17,False
2013-11-25,51,False
2013-11-26,71,False
2013-11-27,100,False
2013-11-28,40,False
2013-11-29,82,False
2013-11-30,25,False
