date,MAT stock,isPartial
2017-07-01,66,False
2017-07-02,50,False
2017-07-03,44,False
2017-07-04,59,False
2017-07-05,59,False
2017-07-06,68,False
2017-07-07,60,False
2017-07-08,100,False
2017-07-09,33,False
2017-07-10,57,False
2017-07-11,28,False
2017-07-12,28,False
2017-07-13,72,False
2017-07-14,44,False
2017-07-15,33,False
2017-07-16,99,False
2017-07-17,48,False
2017-07-18,43,False
2017-07-19,57,False
2017-07-20,99,False
2017-07-21,49,False
2017-07-22,55,False
2017-07-23,33,False
2017-07-24,84,False
2017-07-25,65,False
2017-07-26,83,False
2017-07-27,99,False
2017-07-28,97,False
2017-07-29,50,False
2017-07-30,66,False
2017-07-31,93,False
