date,MU stock,isPartial
2012-08-01,66,False
2012-08-02,68,False
2012-08-03,35,False
2012-08-04,0,False
2012-08-05,0,False
2012-08-06,33,False
2012-08-07,50,False
2012-08-08,50,False
2012-08-09,34,False
2012-08-10,87,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,100,False
2012-08-14,66,False
2012-08-15,68,False
2012-08-16,34,False
2012-08-17,35,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,34,False
2012-08-21,33,False
2012-08-22,50,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,40,False
2012-08-26,0,False
2012-08-27,32,False
2012-08-28,32,False
2012-08-29,65,False
2012-08-30,33,False
2012-08-31,50,False
