date,EA stock,isPartial
2012-04-01,17,False
2012-04-02,22,False
2012-04-03,38,False
2012-04-04,78,False
2012-04-05,85,False
2012-04-06,55,False
2012-04-07,36,False
2012-04-08,25,False
2012-04-09,23,False
2012-04-10,54,False
2012-04-11,71,False
2012-04-12,100,False
2012-04-13,50,False
2012-04-14,40,False
2012-04-15,23,False
2012-04-16,74,False
2012-04-17,46,False
2012-04-18,37,False
2012-04-19,76,False
2012-04-20,54,False
2012-04-21,26,False
2012-04-22,33,False
2012-04-23,48,False
2012-04-24,37,False
2012-04-25,33,False
2012-04-26,100,False
2012-04-27,82,False
2012-04-28,41,False
2012-04-29,17,False
2012-04-30,29,False
