date,SIRI stock,isPartial
2018-01-01,14,False
2018-01-02,40,False
2018-01-03,48,False
2018-01-04,51,False
2018-01-05,49,False
2018-01-06,28,False
2018-01-07,15,False
2018-01-08,34,False
2018-01-09,52,False
2018-01-10,93,False
2018-01-11,61,False
2018-01-12,61,False
2018-01-13,26,False
2018-01-14,28,False
2018-01-15,20,False
2018-01-16,33,False
2018-01-17,46,False
2018-01-18,51,False
2018-01-19,58,False
2018-01-20,15,False
2018-01-21,15,False
2018-01-22,61,False
2018-01-23,55,False
2018-01-24,48,False
2018-01-25,76,False
2018-01-26,100,False
2018-01-27,48,False
2018-01-28,30,False
2018-01-29,69,False
2018-01-30,62,False
2018-01-31,93,False
