date,PFE stock,isPartial
2017-10-01,21,False
2017-10-02,60,False
2017-10-03,54,False
2017-10-04,24,False
2017-10-05,79,False
2017-10-06,31,False
2017-10-07,7,False
2017-10-08,0,False
2017-10-09,59,False
2017-10-10,83,False
2017-10-11,54,False
2017-10-12,91,False
2017-10-13,25,False
2017-10-14,14,False
2017-10-15,7,False
2017-10-16,41,False
2017-10-17,94,False
2017-10-18,30,False
2017-10-19,43,False
2017-10-20,100,False
2017-10-21,21,False
2017-10-22,27,False
2017-10-23,82,False
2017-10-24,53,False
2017-10-25,48,False
2017-10-26,30,False
2017-10-27,49,False
2017-10-28,7,False
2017-10-29,7,False
2017-10-30,47,False
2017-10-31,91,False
