date,BA stock,isPartial
2013-11-01,100,False
2013-11-02,40,False
2013-11-03,0,False
2013-11-04,43,False
2013-11-05,33,False
2013-11-06,48,False
2013-11-07,87,False
2013-11-08,70,False
2013-11-09,46,False
2013-11-10,17,False
2013-11-11,29,False
2013-11-12,62,False
2013-11-13,33,False
2013-11-14,68,False
2013-11-15,56,False
2013-11-16,28,False
2013-11-17,17,False
2013-11-18,80,False
2013-11-19,56,False
2013-11-20,47,False
2013-11-21,72,False
2013-11-22,74,False
2013-11-23,22,False
2013-11-24,22,False
2013-11-25,37,False
2013-11-26,47,False
2013-11-27,57,False
2013-11-28,15,False
2013-11-29,41,False
2013-11-30,34,False
