date,GRMN stock,isPartial
2013-06-01,0,False
2013-06-02,0,False
2013-06-03,92,False
2013-06-04,0,False
2013-06-05,0,False
2013-06-06,93,False
2013-06-07,98,False
2013-06-08,0,False
2013-06-09,0,False
2013-06-10,0,False
2013-06-11,91,False
2013-06-12,0,False
2013-06-13,93,False
2013-06-14,0,False
2013-06-15,0,False
2013-06-16,0,False
2013-06-17,0,False
2013-06-18,93,False
2013-06-19,0,False
2013-06-20,94,False
2013-06-21,100,False
2013-06-22,0,False
2013-06-23,0,False
2013-06-24,0,False
2013-06-25,92,False
2013-06-26,0,False
2013-06-27,94,False
2013-06-28,97,False
2013-06-29,0,False
2013-06-30,0,False
