date,MSFT stock,isPartial
2017-11-01,95,False
2017-11-02,100,False
2017-11-03,92,False
2017-11-04,34,False
2017-11-05,13,False
2017-11-06,75,False
2017-11-07,72,False
2017-11-08,89,False
2017-11-09,73,False
2017-11-10,74,False
2017-11-11,16,False
2017-11-12,7,False
2017-11-13,68,False
2017-11-14,74,False
2017-11-15,71,False
2017-11-16,65,False
2017-11-17,67,False
2017-11-18,12,False
2017-11-19,6,False
2017-11-20,66,False
2017-11-21,51,False
2017-11-22,55,False
2017-11-23,22,False
2017-11-24,43,False
2017-11-25,25,False
2017-11-26,9,False
2017-11-27,54,False
2017-11-28,75,False
2017-11-29,75,False
2017-11-30,99,False
