date,PFE stock,isPartial
2016-08-01,56,False
2016-08-02,98,False
2016-08-03,73,False
2016-08-04,67,False
2016-08-05,64,False
2016-08-06,12,False
2016-08-07,0,False
2016-08-08,78,False
2016-08-09,47,False
2016-08-10,55,False
2016-08-11,66,False
2016-08-12,47,False
2016-08-13,8,False
2016-08-14,16,False
2016-08-15,25,False
2016-08-16,42,False
2016-08-17,39,False
2016-08-18,42,False
2016-08-19,47,False
2016-08-20,16,False
2016-08-21,12,False
2016-08-22,100,False
2016-08-23,62,False
2016-08-24,67,False
2016-08-25,43,False
2016-08-26,58,False
2016-08-27,8,False
2016-08-28,8,False
2016-08-29,35,False
2016-08-30,32,False
2016-08-31,68,False
