date,SIRI stock,isPartial
2018-02-01,67,False
2018-02-02,82,False
2018-02-03,24,False
2018-02-04,27,False
2018-02-05,73,False
2018-02-06,100,False
2018-02-07,81,False
2018-02-08,55,False
2018-02-09,73,False
2018-02-10,24,False
2018-02-11,21,False
2018-02-12,67,False
2018-02-13,46,False
2018-02-14,46,False
2018-02-15,50,False
2018-02-16,57,False
2018-02-17,10,False
2018-02-18,7,False
2018-02-19,9,False
2018-02-20,39,False
2018-02-21,45,False
2018-02-22,45,False
2018-02-23,97,False
2018-02-24,21,False
2018-02-25,14,False
2018-02-26,80,False
2018-02-27,66,False
2018-02-28,51,False
