date,MAT stock,isPartial
2017-06-01,85,False
2017-06-02,40,False
2017-06-03,81,False
2017-06-04,26,False
2017-06-05,53,False
2017-06-06,51,False
2017-06-07,67,False
2017-06-08,45,False
2017-06-09,47,False
2017-06-10,27,False
2017-06-11,54,False
2017-06-12,100,False
2017-06-13,37,False
2017-06-14,30,False
2017-06-15,93,False
2017-06-16,79,False
2017-06-17,27,False
2017-06-18,54,False
2017-06-19,60,False
2017-06-20,58,False
2017-06-21,54,False
2017-06-22,51,False
2017-06-23,61,False
2017-06-24,79,False
2017-06-25,36,False
2017-06-26,38,False
2017-06-27,93,False
2017-06-28,39,False
2017-06-29,47,False
2017-06-30,56,False
