date,ODP stock,isPartial
2018-01-01,0,False
2018-01-02,43,False
2018-01-03,82,False
2018-01-04,41,False
2018-01-05,31,False
2018-01-06,23,False
2018-01-07,23,False
2018-01-08,20,False
2018-01-09,0,False
2018-01-10,100,False
2018-01-11,30,False
2018-01-12,31,False
2018-01-13,0,False
2018-01-14,0,False
2018-01-15,0,False
2018-01-16,39,False
2018-01-17,79,False
2018-01-18,60,False
2018-01-19,21,False
2018-01-20,0,False
2018-01-21,0,False
2018-01-22,20,False
2018-01-23,20,False
2018-01-24,39,False
2018-01-25,30,False
2018-01-26,0,False
2018-01-27,23,False
2018-01-28,0,False
2018-01-29,40,False
2018-01-30,39,False
2018-01-31,20,False
