date,KO stock,isPartial
2017-04-01,18,False
2017-04-02,9,False
2017-04-03,33,False
2017-04-04,33,False
2017-04-05,40,False
2017-04-06,39,False
2017-04-07,54,False
2017-04-08,46,False
2017-04-09,11,False
2017-04-10,50,False
2017-04-11,33,False
2017-04-12,48,False
2017-04-13,46,False
2017-04-14,26,False
2017-04-15,9,False
2017-04-16,9,False
2017-04-17,62,False
2017-04-18,46,False
2017-04-19,44,False
2017-04-20,46,False
2017-04-21,53,False
2017-04-22,22,False
2017-04-23,9,False
2017-04-24,46,False
2017-04-25,100,False
2017-04-26,66,False
2017-04-27,54,False
2017-04-28,58,False
2017-04-29,16,False
2017-04-30,9,False
