date,KO stock,isPartial
2017-09-01,74,False
2017-09-02,18,False
2017-09-03,0,False
2017-09-04,16,False
2017-09-05,53,False
2017-09-06,49,False
2017-09-07,42,False
2017-09-08,56,False
2017-09-09,18,False
2017-09-10,17,False
2017-09-11,49,False
2017-09-12,53,False
2017-09-13,76,False
2017-09-14,100,False
2017-09-15,55,False
2017-09-16,40,False
2017-09-17,26,False
2017-09-18,57,False
2017-09-19,71,False
2017-09-20,34,False
2017-09-21,65,False
2017-09-22,56,False
2017-09-23,13,False
2017-09-24,17,False
2017-09-25,42,False
2017-09-26,53,False
2017-09-27,72,False
2017-09-28,58,False
2017-09-29,65,False
2017-09-30,36,False
