date,MCD stock,isPartial
2012-08-01,21,False
2012-08-02,21,False
2012-08-03,44,False
2012-08-04,52,False
2012-08-05,26,False
2012-08-06,52,False
2012-08-07,21,False
2012-08-08,63,False
2012-08-09,53,False
2012-08-10,100,False
2012-08-11,26,False
2012-08-12,0,False
2012-08-13,53,False
2012-08-14,32,False
2012-08-15,77,False
2012-08-16,32,False
2012-08-17,56,False
2012-08-18,26,False
2012-08-19,54,False
2012-08-20,65,False
2012-08-21,21,False
2012-08-22,63,False
2012-08-23,85,False
2012-08-24,44,False
2012-08-25,26,False
2012-08-26,75,False
2012-08-27,20,False
2012-08-28,50,False
2012-08-29,31,False
2012-08-30,83,False
2012-08-31,32,False
