date,ODP stock,isPartial
2017-10-01,23,False
2017-10-02,20,False
2017-10-03,34,False
2017-10-04,100,False
2017-10-05,61,False
2017-10-06,31,False
2017-10-07,35,False
2017-10-08,0,False
2017-10-09,40,False
2017-10-10,39,False
2017-10-11,40,False
2017-10-12,20,False
2017-10-13,84,False
2017-10-14,23,False
2017-10-15,23,False
2017-10-16,20,False
2017-10-17,20,False
2017-10-18,60,False
2017-10-19,30,False
2017-10-20,35,False
2017-10-21,23,False
2017-10-22,0,False
2017-10-23,20,False
2017-10-24,30,False
2017-10-25,39,False
2017-10-26,20,False
2017-10-27,21,False
2017-10-28,0,False
2017-10-29,0,False
2017-10-30,46,False
2017-10-31,34,False
