date,MU stock,isPartial
2016-02-01,35,False
2016-02-02,100,False
2016-02-03,52,False
2016-02-04,38,False
2016-02-05,35,False
2016-02-06,7,False
2016-02-07,11,False
2016-02-08,57,False
2016-02-09,26,False
2016-02-10,37,False
2016-02-11,39,False
2016-02-12,30,False
2016-02-13,9,False
2016-02-14,9,False
2016-02-15,12,False
2016-02-16,23,False
2016-02-17,56,False
2016-02-18,25,False
2016-02-19,44,False
2016-02-20,17,False
2016-02-21,7,False
2016-02-22,44,False
2016-02-23,38,False
2016-02-24,25,False
2016-02-25,42,False
2016-02-26,36,False
2016-02-27,13,False
2016-02-28,13,False
2016-02-29,35,False
