date,EXPE stock,isPartial
2018-06-01,66,False
2018-06-02,45,False
2018-06-03,0,False
2018-06-04,57,False
2018-06-05,63,False
2018-06-06,51,False
2018-06-07,76,False
2018-06-08,66,False
2018-06-09,89,False
2018-06-10,44,False
2018-06-11,36,False
2018-06-12,35,False
2018-06-13,71,False
2018-06-14,37,False
2018-06-15,100,False
2018-06-16,45,False
2018-06-17,0,False
2018-06-18,75,False
2018-06-19,37,False
2018-06-20,38,False
2018-06-21,38,False
2018-06-22,39,False
2018-06-23,88,False
2018-06-24,0,False
2018-06-25,62,False
2018-06-26,62,False
2018-06-27,37,False
2018-06-28,56,False
2018-06-29,82,False
2018-06-30,87,False
