date,DIS stock,isPartial
2015-05-01,56,False
2015-05-02,19,False
2015-05-03,11,False
2015-05-04,71,False
2015-05-05,100,False
2015-05-06,54,False
2015-05-07,39,False
2015-05-08,63,False
2015-05-09,8,False
2015-05-10,11,False
2015-05-11,34,False
2015-05-12,54,False
2015-05-13,46,False
2015-05-14,47,False
2015-05-15,43,False
2015-05-16,19,False
2015-05-17,13,False
2015-05-18,34,False
2015-05-19,60,False
2015-05-20,45,False
2015-05-21,43,False
2015-05-22,41,False
2015-05-23,27,False
2015-05-24,6,False
2015-05-25,19,False
2015-05-26,31,False
2015-05-27,27,False
2015-05-28,36,False
2015-05-29,38,False
2015-05-30,8,False
2015-05-31,13,False
