date,BA stock,isPartial
2016-01-01,17,False
2016-01-02,5,False
2016-01-03,10,False
2016-01-04,32,False
2016-01-05,29,False
2016-01-06,33,False
2016-01-07,31,False
2016-01-08,31,False
2016-01-09,12,False
2016-01-10,11,False
2016-01-11,24,False
2016-01-12,33,False
2016-01-13,38,False
2016-01-14,24,False
2016-01-15,48,False
2016-01-16,20,False
2016-01-17,11,False
2016-01-18,10,False
2016-01-19,14,False
2016-01-20,33,False
2016-01-21,45,False
2016-01-22,29,False
2016-01-23,12,False
2016-01-24,10,False
2016-01-25,26,False
2016-01-26,37,False
2016-01-27,100,False
2016-01-28,85,False
2016-01-29,52,False
2016-01-30,18,False
2016-01-31,7,False
