date,DIS stock,isPartial
2015-07-01,23,False
2015-07-02,34,False
2015-07-03,12,False
2015-07-04,21,False
2015-07-05,0,False
2015-07-06,78,False
2015-07-07,60,False
2015-07-08,96,False
2015-07-09,57,False
2015-07-10,52,False
2015-07-11,0,False
2015-07-12,7,False
2015-07-13,61,False
2015-07-14,45,False
2015-07-15,68,False
2015-07-16,58,False
2015-07-17,48,False
2015-07-18,29,False
2015-07-19,7,False
2015-07-20,53,False
2015-07-21,45,False
2015-07-22,73,False
2015-07-23,57,False
2015-07-24,58,False
2015-07-25,13,False
2015-07-26,13,False
2015-07-27,55,False
2015-07-28,50,False
2015-07-29,100,False
2015-07-30,67,False
2015-07-31,76,False
