date,MU stock,isPartial
2017-12-01,51,False
2017-12-02,19,False
2017-12-03,5,False
2017-12-04,53,False
2017-12-05,45,False
2017-12-06,45,False
2017-12-07,51,False
2017-12-08,42,False
2017-12-09,14,False
2017-12-10,6,False
2017-12-11,34,False
2017-12-12,44,False
2017-12-13,39,False
2017-12-14,37,False
2017-12-15,36,False
2017-12-16,12,False
2017-12-17,8,False
2017-12-18,45,False
2017-12-19,85,False
2017-12-20,100,False
2017-12-21,54,False
2017-12-22,60,False
2017-12-23,14,False
2017-12-24,8,False
2017-12-25,10,False
2017-12-26,48,False
2017-12-27,49,False
2017-12-28,40,False
2017-12-29,52,False
2017-12-30,15,False
2017-12-31,9,False
