date,HD stock,isPartial
2016-06-01,50,False
2016-06-02,41,False
2016-06-03,81,False
2016-06-04,32,False
2016-06-05,34,False
2016-06-06,55,False
2016-06-07,57,False
2016-06-08,61,False
2016-06-09,41,False
2016-06-10,55,False
2016-06-11,27,False
2016-06-12,19,False
2016-06-13,37,False
2016-06-14,89,False
2016-06-15,54,False
2016-06-16,52,False
2016-06-17,44,False
2016-06-18,30,False
2016-06-19,37,False
2016-06-20,48,False
2016-06-21,50,False
2016-06-22,44,False
2016-06-23,48,False
2016-06-24,100,False
2016-06-25,27,False
2016-06-26,22,False
2016-06-27,65,False
2016-06-28,74,False
2016-06-29,60,False
2016-06-30,56,False
