date,TWTR,isPartial
2013-03-01,66,False
2013-03-02,100,False
2013-03-03,50,False
2013-03-04,0,False
2013-03-05,42,False
2013-03-06,0,False
2013-03-07,54,False
2013-03-08,22,False
2013-03-09,25,False
2013-03-10,37,False
2013-03-11,52,False
2013-03-12,41,False
2013-03-13,41,False
2013-03-14,53,False
2013-03-15,76,False
2013-03-16,50,False
2013-03-17,73,False
2013-03-18,21,False
2013-03-19,52,False
2013-03-20,52,False
2013-03-21,42,False
2013-03-22,22,False
2013-03-23,37,False
2013-03-24,50,False
2013-03-25,62,False
2013-03-26,74,False
2013-03-27,65,False
2013-03-28,45,False
2013-03-29,84,False
2013-03-30,52,False
2013-03-31,52,False
