date,HAS stock,isPartial
2015-08-01,29,False
2015-08-02,39,False
2015-08-03,51,False
2015-08-04,31,False
2015-08-05,48,False
2015-08-06,43,False
2015-08-07,49,False
2015-08-08,28,False
2015-08-09,31,False
2015-08-10,36,False
2015-08-11,46,False
2015-08-12,38,False
2015-08-13,36,False
2015-08-14,47,False
2015-08-15,19,False
2015-08-16,23,False
2015-08-17,47,False
2015-08-18,33,False
2015-08-19,44,False
2015-08-20,46,False
2015-08-21,54,False
2015-08-22,45,False
2015-08-23,38,False
2015-08-24,100,False
2015-08-25,62,False
2015-08-26,65,False
2015-08-27,50,False
2015-08-28,42,False
2015-08-29,32,False
2015-08-30,44,False
2015-08-31,47,False
