date,SYMC stock,isPartial
2015-05-01,46,False
2015-05-02,98,False
2015-05-03,0,False
2015-05-04,41,False
2015-05-05,40,False
2015-05-06,40,False
2015-05-07,0,False
2015-05-08,0,False
2015-05-09,74,False
2015-05-10,50,False
2015-05-11,80,False
2015-05-12,40,False
2015-05-13,0,False
2015-05-14,42,False
2015-05-15,63,False
2015-05-16,0,False
2015-05-17,48,False
2015-05-18,100,False
2015-05-19,40,False
2015-05-20,40,False
2015-05-21,41,False
2015-05-22,42,False
2015-05-23,48,False
2015-05-24,0,False
2015-05-25,0,False
2015-05-26,39,False
2015-05-27,39,False
2015-05-28,60,False
2015-05-29,42,False
2015-05-30,48,False
2015-05-31,0,False
