date,GOOG stock,isPartial
2016-07-01,23,False
2016-07-02,11,False
2016-07-03,5,False
2016-07-04,6,False
2016-07-05,30,False
2016-07-06,20,False
2016-07-07,26,False
2016-07-08,29,False
2016-07-09,3,False
2016-07-10,6,False
2016-07-11,31,False
2016-07-12,34,False
2016-07-13,26,False
2016-07-14,26,False
2016-07-15,13,False
2016-07-16,7,False
2016-07-17,12,False
2016-07-18,24,False
2016-07-19,34,False
2016-07-20,40,False
2016-07-21,27,False
2016-07-22,24,False
2016-07-23,7,False
2016-07-24,5,False
2016-07-25,30,False
2016-07-26,27,False
2016-07-27,35,False
2016-07-28,81,False
2016-07-29,100,False
2016-07-30,23,False
2016-07-31,11,False
