date,TSLA stock,isPartial
2017-01-01,9,False
2017-01-02,11,False
2017-01-03,47,False
2017-01-04,88,False
2017-01-05,61,False
2017-01-06,51,False
2017-01-07,14,False
2017-01-08,7,False
2017-01-09,46,False
2017-01-10,50,False
2017-01-11,43,False
2017-01-12,45,False
2017-01-13,54,False
2017-01-14,16,False
2017-01-15,10,False
2017-01-16,20,False
2017-01-17,71,False
2017-01-18,61,False
2017-01-19,100,False
2017-01-20,76,False
2017-01-21,12,False
2017-01-22,9,False
2017-01-23,67,False
2017-01-24,61,False
2017-01-25,81,False
2017-01-26,61,False
2017-01-27,78,False
2017-01-28,24,False
2017-01-29,10,False
2017-01-30,39,False
2017-01-31,61,False
