date,EXPE stock,isPartial
2013-11-01,0,False
2013-11-02,0,False
2013-11-03,39,False
2013-11-04,34,False
2013-11-05,66,False
2013-11-06,100,False
2013-11-07,34,False
2013-11-08,35,False
2013-11-09,0,False
2013-11-10,0,False
2013-11-11,33,False
2013-11-12,33,False
2013-11-13,0,False
2013-11-14,34,False
2013-11-15,0,False
2013-11-16,0,False
2013-11-17,38,False
2013-11-18,33,False
2013-11-19,49,False
2013-11-20,33,False
2013-11-21,0,False
2013-11-22,0,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,32,False
2013-11-26,32,False
2013-11-27,33,False
2013-11-28,0,False
2013-11-29,0,False
2013-11-30,0,False
