date,SBUX stock,isPartial
2015-04-01,27,False
2015-04-02,25,False
2015-04-03,15,False
2015-04-04,13,False
2015-04-05,0,False
2015-04-06,25,False
2015-04-07,31,False
2015-04-08,34,False
2015-04-09,100,False
2015-04-10,91,False
2015-04-11,25,False
2015-04-12,9,False
2015-04-13,49,False
2015-04-14,49,False
2015-04-15,55,False
2015-04-16,63,False
2015-04-17,65,False
2015-04-18,12,False
2015-04-19,6,False
2015-04-20,36,False
2015-04-21,39,False
2015-04-22,31,False
2015-04-23,50,False
2015-04-24,96,False
2015-04-25,12,False
2015-04-26,12,False
2015-04-27,46,False
2015-04-28,59,False
2015-04-29,44,False
2015-04-30,30,False
