date,PEP stock,isPartial
2013-11-01,87,False
2013-11-02,76,False
2013-11-03,37,False
2013-11-04,48,False
2013-11-05,47,False
2013-11-06,94,False
2013-11-07,64,False
2013-11-08,50,False
2013-11-09,38,False
2013-11-10,0,False
2013-11-11,31,False
2013-11-12,78,False
2013-11-13,94,False
2013-11-14,48,False
2013-11-15,100,False
2013-11-16,0,False
2013-11-17,37,False
2013-11-18,94,False
2013-11-19,93,False
2013-11-20,62,False
2013-11-21,63,False
2013-11-22,33,False
2013-11-23,74,False
2013-11-24,36,False
2013-11-25,62,False
2013-11-26,62,False
2013-11-27,31,False
2013-11-28,50,False
2013-11-29,34,False
2013-11-30,37,False
