date,CTSH stock,isPartial
2017-09-01,43,False
2017-09-02,24,False
2017-09-03,23,False
2017-09-04,0,False
2017-09-05,79,False
2017-09-06,99,False
2017-09-07,60,False
2017-09-08,52,False
2017-09-09,23,False
2017-09-10,45,False
2017-09-11,49,False
2017-09-12,88,False
2017-09-13,78,False
2017-09-14,100,False
2017-09-15,72,False
2017-09-16,23,False
2017-09-17,45,False
2017-09-18,69,False
2017-09-19,78,False
2017-09-20,49,False
2017-09-21,61,False
2017-09-22,73,False
2017-09-23,57,False
2017-09-24,23,False
2017-09-25,20,False
2017-09-26,19,False
2017-09-27,59,False
2017-09-28,70,False
2017-09-29,42,False
2017-09-30,0,False
