date,MU stock,isPartial
2016-06-01,51,False
2016-06-02,51,False
2016-06-03,60,False
2016-06-04,10,False
2016-06-05,5,False
2016-06-06,23,False
2016-06-07,40,False
2016-06-08,36,False
2016-06-09,36,False
2016-06-10,36,False
2016-06-11,10,False
2016-06-12,10,False
2016-06-13,31,False
2016-06-14,25,False
2016-06-15,25,False
2016-06-16,42,False
2016-06-17,35,False
2016-06-18,20,False
2016-06-19,5,False
2016-06-20,23,False
2016-06-21,28,False
2016-06-22,32,False
2016-06-23,52,False
2016-06-24,78,False
2016-06-25,28,False
2016-06-26,5,False
2016-06-27,32,False
2016-06-28,55,False
2016-06-29,45,False
2016-06-30,100,False
