date,PEP stock,isPartial
2013-04-01,100,False
2013-04-02,54,False
2013-04-03,41,False
2013-04-04,27,False
2013-04-05,85,False
2013-04-06,32,False
2013-04-07,0,False
2013-04-08,0,False
2013-04-09,27,False
2013-04-10,41,False
2013-04-11,41,False
2013-04-12,28,False
2013-04-13,49,False
2013-04-14,33,False
2013-04-15,27,False
2013-04-16,68,False
2013-04-17,81,False
2013-04-18,55,False
2013-04-19,43,False
2013-04-20,49,False
2013-04-21,33,False
2013-04-22,67,False
2013-04-23,94,False
2013-04-24,96,False
2013-04-25,42,False
2013-04-26,57,False
2013-04-27,65,False
2013-04-28,0,False
2013-04-29,27,False
2013-04-30,83,False
