date,MSFT stock,isPartial
2015-11-01,33,False
2015-11-02,84,False
2015-11-03,100,False
2015-11-04,88,False
2015-11-05,90,False
2015-11-06,79,False
2015-11-07,37,False
2015-11-08,16,False
2015-11-09,73,False
2015-11-10,68,False
2015-11-11,90,False
2015-11-12,80,False
2015-11-13,68,False
2015-11-14,37,False
2015-11-15,20,False
2015-11-16,70,False
2015-11-17,68,False
2015-11-18,74,False
2015-11-19,51,False
2015-11-20,43,False
2015-11-21,23,False
2015-11-22,31,False
2015-11-23,66,False
2015-11-24,54,False
2015-11-25,43,False
2015-11-26,14,False
2015-11-27,29,False
2015-11-28,20,False
2015-11-29,18,False
2015-11-30,84,False
