date,SIRI stock,isPartial
2016-05-01,38,False
2016-05-02,75,False
2016-05-03,91,False
2016-05-04,69,False
2016-05-05,67,False
2016-05-06,97,False
2016-05-07,21,False
2016-05-08,30,False
2016-05-09,48,False
2016-05-10,68,False
2016-05-11,69,False
2016-05-12,35,False
2016-05-13,45,False
2016-05-14,15,False
2016-05-15,25,False
2016-05-16,69,False
2016-05-17,60,False
2016-05-18,72,False
2016-05-19,56,False
2016-05-20,64,False
2016-05-21,38,False
2016-05-22,15,False
2016-05-23,47,False
2016-05-24,65,False
2016-05-25,100,False
2016-05-26,64,False
2016-05-27,79,False
2016-05-28,46,False
2016-05-29,20,False
2016-05-30,27,False
2016-05-31,65,False
