date,NVDA stock,isPartial
2017-01-01,18,False
2017-01-02,17,False
2017-01-03,95,False
2017-01-04,89,False
2017-01-05,100,False
2017-01-06,88,False
2017-01-07,33,False
2017-01-08,14,False
2017-01-09,71,False
2017-01-10,77,False
2017-01-11,62,False
2017-01-12,58,False
2017-01-13,48,False
2017-01-14,21,False
2017-01-15,10,False
2017-01-16,12,False
2017-01-17,49,False
2017-01-18,47,False
2017-01-19,36,False
2017-01-20,71,False
2017-01-21,10,False
2017-01-22,6,False
2017-01-23,32,False
2017-01-24,46,False
2017-01-25,66,False
2017-01-26,47,False
2017-01-27,52,False
2017-01-28,21,False
2017-01-29,10,False
2017-01-30,45,False
2017-01-31,35,False
