date,WDC stock,isPartial
2014-07-01,46,False
2014-07-02,31,False
2014-07-03,47,False
2014-07-04,100,False
2014-07-05,37,False
2014-07-06,38,False
2014-07-07,45,False
2014-07-08,89,False
2014-07-09,31,False
2014-07-10,61,False
2014-07-11,48,False
2014-07-12,0,False
2014-07-13,36,False
2014-07-14,45,False
2014-07-15,30,False
2014-07-16,63,False
2014-07-17,94,False
2014-07-18,32,False
2014-07-19,0,False
2014-07-20,74,False
2014-07-21,60,False
2014-07-22,30,False
2014-07-23,47,False
2014-07-24,93,False
2014-07-25,32,False
2014-07-26,0,False
2014-07-27,0,False
2014-07-28,61,False
2014-07-29,31,False
2014-07-30,93,False
2014-07-31,93,False
