date,GOOG,isPartial
2012-01-01,90,False
2012-01-02,85,False
2012-01-03,86,False
2012-01-04,83,False
2012-01-05,82,False
2012-01-06,89,False
2012-01-07,95,False
2012-01-08,89,False
2012-01-09,86,False
2012-01-10,86,False
2012-01-11,87,False
2012-01-12,93,False
2012-01-13,84,False
2012-01-14,86,False
2012-01-15,88,False
2012-01-16,81,False
2012-01-17,83,False
2012-01-18,92,False
2012-01-19,95,False
2012-01-20,100,False
2012-01-21,93,False
2012-01-22,86,False
2012-01-23,89,False
2012-01-24,86,False
2012-01-25,85,False
2012-01-26,85,False
2012-01-27,82,False
2012-01-28,86,False
2012-01-29,85,False
2012-01-30,79,False
2012-01-31,89,False
