date,HD stock,isPartial
2013-08-01,46,False
2013-08-02,28,False
2013-08-03,23,False
2013-08-04,29,False
2013-08-05,35,False
2013-08-06,38,False
2013-08-07,38,False
2013-08-08,59,False
2013-08-09,40,False
2013-08-10,20,False
2013-08-11,34,False
2013-08-12,50,False
2013-08-13,38,False
2013-08-14,53,False
2013-08-15,47,False
2013-08-16,33,False
2013-08-17,26,False
2013-08-18,23,False
2013-08-19,77,False
2013-08-20,100,False
2013-08-21,56,False
2013-08-22,50,False
2013-08-23,52,False
2013-08-24,42,False
2013-08-25,14,False
2013-08-26,45,False
2013-08-27,52,False
2013-08-28,36,False
2013-08-29,42,False
2013-08-30,29,False
2013-08-31,36,False
