date,AMZN stock,isPartial
2013-07-01,23,False
2013-07-02,13,False
2013-07-03,20,False
2013-07-04,11,False
2013-07-05,15,False
2013-07-06,13,False
2013-07-07,9,False
2013-07-08,20,False
2013-07-09,31,False
2013-07-10,41,False
2013-07-11,52,False
2013-07-12,72,False
2013-07-13,51,False
2013-07-14,17,False
2013-07-15,27,False
2013-07-16,24,False
2013-07-17,35,False
2013-07-18,38,False
2013-07-19,29,False
2013-07-20,17,False
2013-07-21,17,False
2013-07-22,20,False
2013-07-23,17,False
2013-07-24,24,False
2013-07-25,59,False
2013-07-26,100,False
2013-07-27,38,False
2013-07-28,17,False
2013-07-29,40,False
2013-07-30,43,False
2013-07-31,65,False
