date,FB stock,isPartial
2015-10-01,50,False
2015-10-02,56,False
2015-10-03,26,False
2015-10-04,19,False
2015-10-05,51,False
2015-10-06,42,False
2015-10-07,55,False
2015-10-08,45,False
2015-10-09,53,False
2015-10-10,26,False
2015-10-11,19,False
2015-10-12,33,False
2015-10-13,46,False
2015-10-14,48,False
2015-10-15,48,False
2015-10-16,53,False
2015-10-17,28,False
2015-10-18,24,False
2015-10-19,56,False
2015-10-20,53,False
2015-10-21,59,False
2015-10-22,74,False
2015-10-23,100,False
2015-10-24,30,False
2015-10-25,21,False
2015-10-26,62,False
2015-10-27,74,False
2015-10-28,71,False
2015-10-29,82,False
2015-10-30,69,False
2015-10-31,32,False
