date,PEP stock,isPartial
2017-11-01,85,False
2017-11-02,60,False
2017-11-03,49,False
2017-11-04,40,False
2017-11-05,0,False
2017-11-06,43,False
2017-11-07,52,False
2017-11-08,47,False
2017-11-09,59,False
2017-11-10,61,False
2017-11-11,40,False
2017-11-12,26,False
2017-11-13,52,False
2017-11-14,69,False
2017-11-15,75,False
2017-11-16,52,False
2017-11-17,36,False
2017-11-18,33,False
2017-11-19,20,False
2017-11-20,43,False
2017-11-21,35,False
2017-11-22,70,False
2017-11-23,54,False
2017-11-24,27,False
2017-11-25,30,False
2017-11-26,39,False
2017-11-27,34,False
2017-11-28,40,False
2017-11-29,61,False
2017-11-30,100,False
