date,BA stock,isPartial
2016-10-01,9,False
2016-10-02,8,False
2016-10-03,41,False
2016-10-04,33,False
2016-10-05,19,False
2016-10-06,53,False
2016-10-07,65,False
2016-10-08,9,False
2016-10-09,17,False
2016-10-10,34,False
2016-10-11,41,False
2016-10-12,23,False
2016-10-13,19,False
2016-10-14,47,False
2016-10-15,9,False
2016-10-16,13,False
2016-10-17,30,False
2016-10-18,29,False
2016-10-19,22,False
2016-10-20,37,False
2016-10-21,62,False
2016-10-22,52,False
2016-10-23,17,False
2016-10-24,44,False
2016-10-25,44,False
2016-10-26,100,False
2016-10-27,94,False
2016-10-28,55,False
2016-10-29,13,False
2016-10-30,17,False
2016-10-31,53,False
