date,ADBE stock,isPartial
2017-12-01,37,False
2017-12-02,18,False
2017-12-03,9,False
2017-12-04,75,False
2017-12-05,52,False
2017-12-06,28,False
2017-12-07,28,False
2017-12-08,29,False
2017-12-09,9,False
2017-12-10,9,False
2017-12-11,19,False
2017-12-12,45,False
2017-12-13,40,False
2017-12-14,100,False
2017-12-15,90,False
2017-12-16,18,False
2017-12-17,13,False
2017-12-18,13,False
2017-12-19,21,False
2017-12-20,36,False
2017-12-21,19,False
2017-12-22,17,False
2017-12-23,9,False
2017-12-24,15,False
2017-12-25,10,False
2017-12-26,13,False
2017-12-27,12,False
2017-12-28,25,False
2017-12-29,8,False
2017-12-30,32,False
2017-12-31,9,False
