date,HAS stock,isPartial
2012-05-01,85,False
2012-05-02,58,False
2012-05-03,95,False
2012-05-04,74,False
2012-05-05,39,False
2012-05-06,45,False
2012-05-07,69,False
2012-05-08,26,False
2012-05-09,74,False
2012-05-10,51,False
2012-05-11,73,False
2012-05-12,56,False
2012-05-13,46,False
2012-05-14,66,False
2012-05-15,39,False
2012-05-16,69,False
2012-05-17,55,False
2012-05-18,100,False
2012-05-19,47,False
2012-05-20,62,False
2012-05-21,84,False
2012-05-22,50,False
2012-05-23,51,False
2012-05-24,68,False
2012-05-25,77,False
2012-05-26,31,False
2012-05-27,31,False
2012-05-28,40,False
2012-05-29,44,False
2012-05-30,37,False
2012-05-31,48,False
