date,CSCO stock,isPartial
2013-01-01,24,False
2013-01-02,58,False
2013-01-03,56,False
2013-01-04,58,False
2013-01-05,22,False
2013-01-06,43,False
2013-01-07,100,False
2013-01-08,42,False
2013-01-09,36,False
2013-01-10,42,False
2013-01-11,37,False
2013-01-12,21,False
2013-01-13,21,False
2013-01-14,36,False
2013-01-15,59,False
2013-01-16,53,False
2013-01-17,45,False
2013-01-18,86,False
2013-01-19,31,False
2013-01-20,31,False
2013-01-21,18,False
2013-01-22,35,False
2013-01-23,62,False
2013-01-24,78,False
2013-01-25,31,False
2013-01-26,21,False
2013-01-27,21,False
2013-01-28,41,False
2013-01-29,70,False
2013-01-30,52,False
2013-01-31,35,False
