date,DIS stock,isPartial
2014-10-01,45,False
2014-10-02,81,False
2014-10-03,67,False
2014-10-04,28,False
2014-10-05,54,False
2014-10-06,39,False
2014-10-07,56,False
2014-10-08,45,False
2014-10-09,68,False
2014-10-10,100,False
2014-10-11,34,False
2014-10-12,0,False
2014-10-13,39,False
2014-10-14,50,False
2014-10-15,66,False
2014-10-16,67,False
2014-10-17,41,False
2014-10-18,27,False
2014-10-19,13,False
2014-10-20,72,False
2014-10-21,33,False
2014-10-22,50,False
2014-10-23,56,False
2014-10-24,53,False
2014-10-25,13,False
2014-10-26,39,False
2014-10-27,54,False
2014-10-28,49,False
2014-10-29,33,False
2014-10-30,51,False
2014-10-31,41,False
