date,GS stock,isPartial
2013-09-01,60,False
2013-09-02,0,False
2013-09-03,25,False
2013-09-04,100,False
2013-09-05,0,False
2013-09-06,0,False
2013-09-07,90,False
2013-09-08,29,False
2013-09-09,74,False
2013-09-10,61,False
2013-09-11,37,False
2013-09-12,49,False
2013-09-13,90,False
2013-09-14,29,False
2013-09-15,0,False
2013-09-16,49,False
2013-09-17,49,False
2013-09-18,74,False
2013-09-19,99,False
2013-09-20,26,False
2013-09-21,59,False
2013-09-22,0,False
2013-09-23,25,False
2013-09-24,49,False
2013-09-25,50,False
2013-09-26,25,False
2013-09-27,78,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,36,False
