date,BA stock,isPartial
2012-03-01,17,False
2012-03-02,53,False
2012-03-03,21,False
2012-03-04,100,False
2012-03-05,25,False
2012-03-06,40,False
2012-03-07,32,False
2012-03-08,50,False
2012-03-09,34,False
2012-03-10,49,False
2012-03-11,19,False
2012-03-12,48,False
2012-03-13,24,False
2012-03-14,24,False
2012-03-15,0,False
2012-03-16,17,False
2012-03-17,20,False
2012-03-18,19,False
2012-03-19,16,False
2012-03-20,49,False
2012-03-21,16,False
2012-03-22,17,False
2012-03-23,17,False
2012-03-24,41,False
2012-03-25,20,False
2012-03-26,32,False
2012-03-27,32,False
2012-03-28,0,False
2012-03-29,25,False
2012-03-30,35,False
2012-03-31,0,False
