date,AMZN stock,isPartial
2015-02-01,27,False
2015-02-02,77,False
2015-02-03,100,False
2015-02-04,76,False
2015-02-05,64,False
2015-02-06,56,False
2015-02-07,28,False
2015-02-08,12,False
2015-02-09,45,False
2015-02-10,42,False
2015-02-11,48,False
2015-02-12,76,False
2015-02-13,45,False
2015-02-14,10,False
2015-02-15,10,False
2015-02-16,36,False
2015-02-17,52,False
2015-02-18,54,False
2015-02-19,46,False
2015-02-20,31,False
2015-02-21,19,False
2015-02-22,15,False
2015-02-23,50,False
2015-02-24,45,False
2015-02-25,42,False
2015-02-26,43,False
2015-02-27,49,False
2015-02-28,18,False
